"#","Qty","Value","Reference","Footprint","DNP","CPN","MPN","Description"
"1","2","470n 50V","C101,C102","Capacitor_SMD:C_0805_2012Metric","","BT00003-090680","C;C;T1;S;P0805;NA","Capacitor"
"2","2","100n 250V","C103,C104","Capacitor_SMD:C_1206_3216Metric","","BT00018-091000","885342208004","Capacitor"
"3","2","2u2 100V","C105,C106","Capacitor_SMD:C_1210_3225Metric","","BT00017-060022","885012209071","Capacitor"
"4","1","22u 100V","C107","Capacitor_SMD:CP_Elec_8x10.5","","BT00019-060220","WE 865060853003","Capacitor"
"5","4","LL4148","D101,D102,D103,D104","Diode_SMD:D_MiniMELF","","BT00020-00001","LL4148","100V 0.15A standard switching diode, MiniMELF"
"6","1","3.3Vdc","D105","bt_footprints:WE-TVS_DFN1210-6L","","BT09003-00001","824012823","TVS 3v3"
"7","1","1mH 0.2A","L101","bt_footprints:L_WE-LQS-5040","","BT00203-00001","WE 74404054102","Inductor 1mH 0.2A 6"
"8","5","1.1uH 15A","L102,L103,L104,L105,L106","Inductor_SMD:L_Wuerth_HCI-7050","","BT00202-00001","WE 744314110","Inductor 1.1uH 15A 3m"
"9","1","820R","R101","Resistor_SMD:R_0603_1608Metric","","BT00002-08200","R;G;T1;S;P0603;NA","Resistor"
"10","1","180R","R102","Resistor_SMD:R_0603_1608Metric","","BT00002-01800","R;G;T1;S;P0603;NA","Resistor"
"11","3","680R","R103,R104,R112","Resistor_SMD:R_0603_1608Metric","","BT00002-06800","R;G;T1;S;P0603;NA","Resistor"
"12","1","12R","R105","Resistor_SMD:R_0603_1608Metric","","BT00002-00120","R;G;T1;S;P0603;NA","Resistor"
"13","1","27R","R106","Resistor_SMD:R_0603_1608Metric","","BT00002-00270","R;G;T1;S;P0603;NA","Resistor"
"14","1","18R","R107","Resistor_SMD:R_0603_1608Metric","","BT00002-00180","R;G;T1;S;P0603;NA","Resistor"
"15","1","910R","R108","Resistor_SMD:R_0603_1608Metric","","BT00002-09100","R;G;T1;S;P0603;NA","Resistor"
"16","1","270R","R109","Resistor_SMD:R_0603_1608Metric","","BT00002-02700","R;G;T1;S;P0603;NA","Resistor"
"17","1","220R","R110","Resistor_SMD:R_0603_1608Metric","","BT00002-02200","R;G;T1;S;P0603;NA","Resistor"
"18","1","510R","R111","Resistor_SMD:R_0603_1608Metric","","BT00002-05100","R;G;T1;S;P0603;NA","Resistor"
"19","1","Conn_Coaxial_Small","X101","Connector_Coaxial:SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount","","","","small coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)"
"20","2","SLB4,RED","X102,X103","bt_footprints:SLB4_6x6mm","","BT10008-00001","SLB4 Red","SLB4 Red SMD"
"21","2","SLB4,BLACK","X104,X105","bt_footprints:SLB4_6x6mm","","BT10008-00002","SLB4 Black","SLB4 BLACK SMD"
